30
13253 56860 71440 68785 2
78776 43621 8233 63419 1
18955 94306 28523 48269 2
60184 21179 59285 90508 1
75644 98959 28865 62315 2
86607 56912 78799 51025 2
85110 57014 77072 70597 2
15915 90950 89479 70530 2
13718 22853 25558 66115 2
80643 30593 75191 94377 1
64883 11754 48255 60604 2
99683 14578 38542 4677 1
85003 41294 46433 63275 1
60603 37593 59938 81711 2
64490 46374 52511 12068 2
40268 86052 38747 33250 2
11352 22393 28918 22337 1
92359 81057 31264 36755 1
46374 67055 5828 45612 1
94129 28237 88472 53040 2
73781 74839 55596 38620 2
70954 31330 25011 59389 1
17105 3602 99611 45927 1
48050 26993 13365 19402 2
19808 51964 92377 96811 2
64365 52510 20496 5188 2
7595 13876 30178 14755 2
6908 21557 72648 34677 1
2695 75738 10586 75280 1
25509 81670 14959 97658 2
